"Day","R/W Count"
"1","1"
"2","4"
"3","0"
"4","0"
"5","0"
"6","0"
"7","1"
"8","2"
"9","0"
"10","0"
"11","0"
"12","0"
"13","0"
"14","0"
"15","0"
"16","0"
"17","6"
"18","0"
"19","0"
"20","0"
"21","3"
"22","1"
"23","1"
"24","0"
"25","0"
"26","0"
"27","1"
"28","2"
"29","3"
"30","0"
"31","0"
"32","0"
"33","0"
"34","0"
"35","0"
"36","0"
"37","0"
"38","0"
"39","0"
"40","0"
"41","0"
"42","0"
"43","1"
"44","0"
"45","4"
"46","0"
"47","0"
"48","2"
"49","7"
"50","3"
"51","4"
"52","6"
"53","0"
"54","0"
"55","0"
"56","0"
"57","0"
"58","1"
"59","0"
"60","0"
"61","0"
"62","3"
"63","0"
"64","4"
"65","6"
"66","10"
"67","0"
"68","0"
"69","2"
"70","4"
"71","3"
"72","1"
"73","0"
"74","0"
"75","0"
"76","1"
"77","2"
"78","1"
"79","1"
"80","0"
"81","0"
"82","0"
"83","0"
"84","0"
"85","0"
"86","0"
"87","0"
"88","0"
"89","0"
"90","0"
