"Date","R/W Count"
"2017-05-25","13"
"2017-05-26","5"
"2017-05-27","3"
"2017-05-28","1"
"2017-05-29","0"
"2017-05-30","0"
"2017-05-31","0"
"2017-06-01","1"
"2017-06-02","0"
"2017-06-03","2"
"2017-06-04","0"
"2017-06-05","1"
"2017-06-06","0"
"2017-06-07","3"
"2017-06-08","2"
"2017-06-09","0"
"2017-06-10","0"
"2017-06-11","1"
"2017-06-12","0"
"2017-06-13","0"
"2017-06-14","0"
"2017-06-15","0"
"2017-06-16","0"
"2017-06-17","0"
"2017-06-18","0"
"2017-06-19","0"
"2017-06-20","0"
"2017-06-21","0"
"2017-06-22","0"
"2017-06-23","1"
"2017-06-24","0"
"2017-06-25","0"
"2017-06-26","0"
"2017-06-27","5"
"2017-06-28","0"
"2017-06-29","2"
"2017-06-30","0"
"2017-07-01","0"
"2017-07-02","0"
"2017-07-03","0"
"2017-07-04","0"
"2017-07-05","0"
"2017-07-06","1"
"2017-07-07","0"
"2017-07-08","0"
"2017-07-09","0"
"2017-07-10","0"
"2017-07-11","0"
"2017-07-12","0"
"2017-07-13","0"
"2017-07-14","0"
"2017-07-15","0"
"2017-07-16","0"
"2017-07-17","0"
"2017-07-18","0"
"2017-07-19","1"
